1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 c5 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 d5 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.e3 d6 
1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.f3 d5 
1.d4 Nf6 2.c4 e6 3.Nc3 c5 4.d5 exd5 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Bg5 Nbd7 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Nf3 Be7 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.Nf3 Nbd7 
1.d4 Nf6 2.c4 e6 3.Nc3 d5 4.cxd5 exd5 
1.d4 Nf6 2.c4 e6 3.Nf3 Bb4 4.Bd2 Bxd2 
1.d4 Nf6 2.c4 e6 3.Nf3 Bb4 4.Bd2 Qe7 
